"Parameter","Type","Mean","True","RelBias","RelMSE","RelRMSE","Cov95"
"beta[1]","Beta",-1.01744067632723,-1,0.0174406763272281,0.000979918804775945,0.0313036548149884,1
"beta[2]","Beta",0.995481113259913,1,-0.00451888674008749,0.00109037554407948,0.0330208349997313,1
"beta[3]","Beta",0.518355998185322,0.5,0.0367119963706437,0.00336602712111479,0.0580174725502136,1
"Gamma_Cluster_1","Gamma_Avg",NA,NA,-0.00815885937374261,0.332108225705095,0.576288318209813,1
"Gamma_Cluster_2","Gamma_Avg",NA,NA,1.3201603288578,3.61388888725856,1.90102311591905,0.91304347826087
"Gamma_Cluster_3","Gamma_Avg",NA,NA,1.10259392604634,3.26001007186585,1.80554979766991,1
"Gamma_Cluster_4","Gamma_Avg",NA,NA,0.0942910422160607,0.631776027193514,0.794843397905219,1
"Lambda_Cl_1","Lambda_Cl",NA,NA,1041514263.74944,1.09733594217522e+20,10475380385.3379,0.757033248081841
"Epsilon_Cl_1","Epsilon_Cl",NA,NA,0.000429413651249668,0.000919967384224641,0.030330964116306,1
"Lambda_Cl_2","Lambda_Cl",NA,NA,2267.20071934558,7543409762.8782,86852.8051526155,0.785714285714286
"Epsilon_Cl_2","Epsilon_Cl",NA,NA,-0.154833046961286,0.0497230038089357,0.22298655522012,0.91304347826087
"Lambda_Cl_3","Lambda_Cl",NA,NA,1167909848.34559,1.11921461574781e+20,10579294001.7177,0.793478260869565
"Epsilon_Cl_3","Epsilon_Cl",NA,NA,-0.322489976695636,0.133223594934543,0.364998075247723,0.434782608695652
"Lambda_Cl_4","Lambda_Cl",NA,NA,239021783.366677,27552733725155459072,5249069796.1787,0.622670807453416
"Epsilon_Cl_4","Epsilon_Cl",NA,NA,-0.42668523142356,0.211355702994419,0.459734383089212,0.173913043478261
